player_id,club_league_name,club_contract_valid_until,club_name,potential,value,wage,overall_rating,release_clause,country_name,age
239085,Premier League,2027,Manchester City,94,185000000.0,340000.0,91,356100000.0,Norway,24
231747,Ligue 1,2024,Paris Saint Germain,94,181500000.0,230000.0,91,349400000.0,France,26
192985,Premier League,2025,Manchester City,91,103000000.0,350000.0,91,190600000.0,Belgium,33
231866,Premier League,2027,Manchester City,92,129500000.0,260000.0,90,249300000.0,Spain,28
202126,Bundesliga,2027,FC Bayern München,90,119500000.0,170000.0,90,197200000.0,England,31
192119,La Liga,2026,Real Madrid,90,63000000.0,250000.0,90,129199999.99999999,Belgium,32
188545,La Liga,2026,FC Barcelona,90,58000000.0,340000.0,90,118900000.0,Poland,36
158023,Major League Soccer,2025,Inter Miami,90,41000000.0,23000.0,90,57400000.0,Argentina,37
239818,Premier League,2027,Manchester City,90,106500000.0,250000.0,89,205000000.0,Portugal,27
238794,La Liga,2027,Real Madrid,94,158500000.0,310000.0,89,336800000.0,,24
212831,Premier League,2027,Liverpool,89,68500000.0,180000.0,89,126700000.0,,32
209331,Premier League,2025,Liverpool,89,85500000.0,260000.0,89,158200000.0,,32
203376,Premier League,2025,Liverpool,89,70500000.0,220000.0,89,130400000.0,Netherlands,33
192448,La Liga,2028,FC Barcelona,89,54500000.0,220000.0,89,111700000.0,Germany,32
252371,La Liga,2029,Real Madrid,92,128500000.0,230000.0,88,273100000.0,England,21
239053,La Liga,2029,Real Madrid,91,124000000.0,270000.0,88,263500000.0,,26
231478,Serie A,2026,Inter,90,116000000.0,180000.0,88,200100000.0,Argentina,27
222665,Premier League,2028,Arsenal,90,118000000.0,200000.0,88,227200000.0,Norway,26
218667,Premier League,2026,Manchester City,88,91500000.0,270000.0,88,169300000.0,Portugal,30
210257,Premier League,2026,Manchester City,89,70000000.0,210000.0,88,134800000.0,,31
200389,La Liga,2028,Atlético Madrid,88,61000000.0,90000.0,88,128100000.0,,32
194765,La Liga,2026,Atlético Madrid,88,74000000.0,135000.0,88,155400000.0,France,34
190871,Pro League,2025,Al Hilal,88,75500000.0,115000.0,88,120800000.0,,33
165153,Pro League,2026,Al Ittihad,88,39000000.0,86000.0,88,62400000.0,,37
256630,Bundesliga,2027,Bayer 04 Leverkusen,92,118500000.0,77000.0,87,210300000.0,Germany,21
237692,Premier League,2027,Manchester City,90,109000000.0,210000.0,87,209800000.0,England,24
235073,Bundesliga,2028,Borussia Dortmund,90,81500000.0,64000.0,87,144700000.0,,27
234378,Premier League,2028,Arsenal,88,88500000.0,150000.0,87,170400000.0,England,26
232293,Serie A,2025,Napoli,89,104500000.0,100000.0,87,185500000.0,,26
230621,Ligue 1,2026,Paris Saint Germain,90,85000000.0,90000.0,87,163600000.0,Italy,26
228702,La Liga,2026,FC Barcelona,88,93000000.0,240000.0,87,197600000.0,Netherlands,27
215698,Serie A,2026,Milan,90,78000000.0,90000.0,87,138500000.0,France,29
212622,Bundesliga,2025,FC Bayern München,87,70000000.0,110000.0,87,115500000.0,Germany,30
212198,Premier League,2026,Manchester United,87,80000000.0,220000.0,87,152000000.0,Portugal,30
207865,Ligue 1,2028,Paris Saint Germain,87,66500000.0,140000.0,87,123000000.0,,30
200104,Premier League,2025,Tottenham Hotspur,87,77000000.0,170000.0,87,146300000.0,,32
182521,La Liga,2024,Real Madrid,87,49000000.0,260000.0,87,100500000.0,Germany,35
167495,Bundesliga,2025,FC Bayern München,87,9000000.0,55000.0,87,14900000.0,Germany,39
256790,Bundesliga,2026,FC Bayern München,93,134500000.0,79000.0,86,248800000.0,Germany,22
253163,La Liga,2026,FC Barcelona,91,93000000.0,175000.0,86,197600000.0,,26
251854,La Liga,2026,FC Barcelona,92,105000000.0,165000.0,86,236300000.0,Spain,22
247635,Serie A,2027,Napoli,92,109000000.0,95000.0,86,207100000.0,,24
246669,Premier League,2027,Arsenal,90,99000000.0,150000.0,86,190600000.0,England,23
241721,Serie A,2028,Milan,89,93000000.0,110000.0,86,165100000.0,Portugal,25
240130,La Liga,2028,Real Madrid,89,80000000.0,210000.0,86,170000000.0,,27
231443,Ligue 1,2028,Paris Saint Germain,86,74000000.0,150000.0,86,136900000.0,France,27
231281,Premier League,2025,Liverpool,88,81000000.0,140000.0,86,155900000.0,England,26
224232,Serie A,2026,Inter,87,79500000.0,135000.0,86,137100000.0,Italy,28
